N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
131,SK케미칼,"121,500","7,000",-5.45%,"5,000","21,409","17,621",17.40,"139,404",57.91,30.49,
132,솔루스첨단소재,"69,200","3,800",-5.21%,100,"21,168","30,590",7.05,"419,291",-272.44,-5.10,
133,DL이앤씨,"108,500","3,500",-3.12%,"5,000","21,004","19,359",24.35,"215,723",N/A,N/A,
134,한화,"27,900",800,-2.79%,"5,000","20,913","74,959",15.74,"325,154",4.72,4.79,
135,OCI,"86,200","4,400",-4.86%,"5,000","20,558","23,849",15.79,"276,126",10.28,-9.89,
136,하이트진로,"28,200","1,200",-4.08%,"5,000","19,778","70,134",4.12,"374,617",38.42,8.23,
137,TIGER 200,"35,360","1,180",-3.23%,0,"19,696","55,700",0.97,"2,829,727",N/A,N/A,
138,대우조선해양,"18,350","1,200",-6.14%,"5,000","19,688","107,291",4.76,"400,219",-1.33,2.27,
139,영원무역,"44,250","1,100",-2.43%,500,"19,608","44,311",28.08,"128,000",8.51,8.03,
140,녹십자,"167,000","7,500",-4.30%,"5,000","19,517","11,687",23.01,"73,122",22.63,7.48,
141,현대로템,"17,850",900,-4.80%,"5,000","19,482","109,142",3.28,"1,089,284",62.20,2.84,
142,씨에스윈드,"46,000","4,000",-8.00%,500,"19,399","42,171",11.48,"649,308",41.74,8.19,
143,KODEX MSCI Korea TR,"11,400",390,-3.31%,0,"19,323","169,500",7.49,"409,299",N/A,N/A,
144,농심,"316,500","6,500",-2.01%,"5,000","19,252","6,083",12.86,"43,192",18.04,7.50,
145,효성첨단소재,"422,500","19,000",-4.30%,"5,000","18,928","4,480",10.67,"62,897",8.81,0.03,
146,후성,"19,900",750,-3.63%,500,"18,429","92,607",7.75,"1,628,921",67.00,2.79,
147,KODEX 레버리지,"18,740","1,265",-6.32%,0,"18,065","96,400",0.53,"41,355,387",N/A,N/A,
148,효성티앤씨,"416,000","13,000",-3.03%,"5,000","18,003","4,328",17.31,"49,831",2.55,25.10,
149,TIGER 미국나스닥100,"75,190","1,170",-1.53%,0,"17,955","23,880",0.00,"433,203",N/A,N/A,
150,한미반도체,"35,850",250,-0.69%,200,"17,731","49,460",6.12,"459,354",21.31,21.03,
151,현대위아,"64,800","2,100",-3.14%,"5,000","17,622","27,195",6.34,"256,063",48.29,1.96,
152,롯데정밀화학,"66,800","3,100",-4.43%,"5,000","17,234","25,800",22.02,"138,307",4.04,12.65,
153,휠라홀딩스,"28,250","2,050",-6.77%,"1,000","17,162","60,752",43.72,"513,233",7.30,10.94,
154,효성,"79,800","1,700",-2.09%,"5,000","16,815","21,071",8.34,"83,961",4.34,-2.26,
155,코오롱인더,"60,100","1,400",-2.28%,"5,000","16,539","27,519",20.08,"240,322",9.33,9.70,
156,한샘,"69,900","3,900",-5.28%,"1,000","16,450","23,534",16.30,"157,715",20.56,10.83,
157,더존비즈온,"53,500","2,600",-4.63%,500,"16,255","30,383",39.67,"136,881",26.19,15.09,
158,KODEX 단기채권,"103,155",20,+0.02%,0,"16,134","15,641",0.00,"68,775",N/A,N/A,
159,TIGER MSCI Korea TR,"14,350",450,-3.04%,0,"16,129","112,400",14.23,"27,436",N/A,N/A,
160,현대백화점,"68,900","3,200",-4.44%,"5,000","16,124","23,402",18.42,"165,481",10.42,1.65,
161,JB금융지주,"8,120",0,0.00%,"5,000","15,995","196,983",42.21,"697,564",3.35,10.06,
162,오뚜기,"432,500","8,000",-1.82%,"5,000","15,881","3,672",11.59,"4,298",14.36,7.93,
163,LS,"49,000","1,800",-3.54%,"5,000","15,778","32,200",13.67,"130,074",6.16,3.94,
164,DGB금융지주,"9,240",10,+0.11%,"5,000","15,629","169,146",49.33,"641,727",3.30,6.93,
165,두산,"93,200","3,300",-3.42%,"5,000","15,400","16,524",10.56,"57,929",-53.69,-34.34,
166,대한전선,"1,760",0,0.00%,500,"15,074","856,473",1.92,0,45.13,0.92,
167,한전KPS,"33,150",450,-1.34%,200,"14,918","45,000",7.56,"199,449",12.35,8.23,
168,동원시스템즈,"51,000","1,800",-3.41%,"5,000","14,886","29,188",13.15,"41,991",23.10,10.97,
169,대웅제약,"127,500","2,000",-1.54%,"2,500","14,773","11,587",6.09,"50,678",128.01,2.38,
170,KODEX 종합채권(AA-이상)액티브,"106,725",45,-0.04%,0,"14,452","13,541",0.00,"2,713",N/A,N/A,
171,KODEX 삼성그룹,"8,890",375,-4.05%,0,"14,260","160,400",0.24,"270,830",N/A,N/A,
172,현대엘리베이,"34,900","1,100",-3.06%,"5,000","14,244","40,815",28.71,"228,967",22.49,9.78,
173,일진하이솔루스,"39,200","2,300",-5.54%,500,"14,235","36,313",2.13,"270,436",73.13,34.27,
174,아이에스동서,"45,450",850,-1.84%,500,"14,041","30,893",4.25,"86,446",26.03,10.92,
175,LS ELECTRIC,"46,700","2,100",-4.30%,"5,000","14,010","30,000",17.55,"112,751",17.29,6.15,
176,대웅,"23,950",750,-3.04%,500,"13,925","58,142",4.24,"106,528",13.19,15.10,
177,TIGER 단기통안채,"100,555",20,+0.02%,0,"13,649","13,574",0.89,"2,289,806",N/A,N/A,
178,동국제강,"13,850",700,-4.81%,"5,000","13,217","95,433",22.36,"837,602",2.93,3.35,
179,케이카,"26,650",750,-2.74%,500,"12,815","48,087",18.18,"154,941",44.27,15.11,
180,TIGER 미국S&P500,"12,975",180,-1.37%,0,"12,800","98,650",0.00,"5,781,602",N/A,N/A,
181,한일시멘트,"18,400",900,-4.66%,500,"12,744","69,262",2.73,"327,253",12.12,N/A,
182,LIG넥스원,"57,600","2,100",-3.52%,"5,000","12,672","22,000",6.27,"288,669",13.43,8.86,
183,NHN,"33,750",850,-2.46%,500,"12,662","37,518",19.35,"224,382",38.97,1.35,
184,명신산업,"23,900","1,400",-5.53%,500,"12,540","52,470",2.28,"555,673",-10.36,-67.39,
185,롯데리츠,"5,150",40,-0.77%,500,"12,513","242,969",9.58,"243,911",32.19,1.68,
186,롯데칠성,"134,500","5,000",-3.58%,500,"12,480","9,279",9.07,"26,042",15.90,-1.00,
187,ESR켄달스퀘어리츠,"5,850",90,-1.52%,"1,000","12,466","213,089",31.92,"370,477",153.95,1.14,
188,코스모신소재,"41,300","2,650",-6.03%,"1,000","12,426","30,087",5.88,"613,762",52.95,7.16,
189,아시아나항공,"16,650",650,-3.76%,"5,000","12,390","74,412",7.42,"368,060",-2.86,-43.83,
190,신풍제약,"23,100","1,100",-4.55%,500,"12,240","52,985",9.71,"488,626","3,850.00",1.72,
191,에스엘,"25,100",950,-3.65%,500,"12,099","48,203",14.87,"153,006",8.32,4.74,
192,TIGER 2차전지테마,"18,875","1,125",-5.62%,0,"12,061","63,900",0.17,"2,302,380",N/A,N/A,
193,코리안리,"9,880",30,-0.30%,500,"11,892","120,369",31.44,"499,672",7.57,5.78,
194,TIGER 미국테크TOP10 INDXX,"11,365",120,-1.04%,0,"11,842","104,200",0.77,"1,708,473",N/A,N/A,
195,PI첨단소재,"40,300","1,300",-3.12%,500,"11,835","29,366",12.88,"344,260",20.23,15.62,
196,한국앤컴퍼니,"12,450",600,-4.60%,500,"11,819","94,935",9.66,"187,003",4.78,5.08,
197,현대두산인프라코어,"5,820",190,-3.16%,"1,000","11,491","197,435",9.81,"1,270,219",4.98,6.47,
198,롯데렌탈,"31,350","1,250",-3.83%,"5,000","11,485","36,634",1.56,"180,863",10.87,6.73,
199,티와이홀딩스,"22,500",950,-4.05%,500,"11,459","50,929",5.11,"80,705",1.94,N/A,
200,LG생활건강우,"544,000","10,000",-1.81%,"5,000","11,422","2,100",84.05,"2,232",11.32,N/A,
201,DL,"54,400","2,600",-4.56%,"5,000","11,400","20,956",11.89,"93,173",1.73,11.84,
202,금호타이어,"3,965",80,-1.98%,"5,000","11,390","287,260",4.00,"417,642",-15.86,-6.74,
203,솔루엠,"22,500",150,+0.67%,500,"11,251","50,006",7.98,"395,201",41.90,43.26,
204,영풍,"608,000","25,000",-3.95%,"5,000","11,200","1,842",4.15,"1,861",9.45,4.03,
205,KODEX 2차전지산업,"18,500",980,-5.03%,0,"11,118","60,100",1.56,"2,752,720",N/A,N/A,
206,KODEX 단기채권PLUS,"103,505",20,+0.02%,0,"10,988","10,616",0.00,"12,368",N/A,N/A,
207,태광산업,"986,000","41,000",-3.99%,"5,000","10,978","1,113",5.86,"1,173",4.33,3.26,
208,SK네트웍스,"4,420",85,-1.89%,"2,500","10,970","248,188",11.36,"553,478",23.39,1.63,
209,KODEX 인버스,"4,500",140,+3.21%,0,"10,899","242,200",0.90,"51,569,000",N/A,N/A,
210,종근당,"88,600","3,200",-3.49%,"2,500","10,621","11,988",7.50,"41,246",20.30,17.88,
211,TIGER 미국필라델피아반도체나스닥,"10,795",45,-0.42%,0,"10,471","97,000",0.70,"2,044,859",N/A,N/A,
212,TIGER TOP10,"11,950",450,-3.63%,0,"10,468","87,600",0.33,"389,414",N/A,N/A,
213,대덕전자,"21,150",300,-1.40%,500,"10,452","49,417",9.83,"980,455",33.73,N/A,
214,녹십자홀딩스,"21,700",200,-0.91%,500,"10,205","47,028",5.54,"288,679",6.83,19.74,
215,SK가스,"110,500","4,000",-3.49%,"5,000","10,199","9,230",5.99,"12,826",4.11,14.91,
